id,created_at,text,hashtag
335726142122233857,2013-05-18 11:58:44,Storm Prediction Center warns of moderate risk for severe thunderstorms for parts of western Oklahoma and Kansas http://t.co/07G0Usb1We,
332804000695083008,2013-05-10 10:27:11,"Fairbanks, Alaska has not had a day above 50 degrees since Oct. 4, 2012 http://t.co/eQDZf9r9mo",
329847843638611968,2013-05-02 06:40:28,Evidence indicates Jamestown settlers turned to cannibalism to survive winter of 1609-1610 http://t.co/QllEGuYwlY,
329846325451579392,2013-05-02 06:34:26,RT @writenews New York Magazine's Hurricane Sandy cover named magazine Cover of the Year http://t.co/MOXCIeqrvh,
329118818687414272,2013-04-30 06:23:35,NASA's Cassini spacecraft captures close-up view of massive hurricane on Saturn http://t.co/Ps7CFPYE3D (via @space),
324425623416221696,2013-04-17 07:34:30,Dallas to St. Louis at risk for tornadoes during severe weather outbreak beginning Wednesday afternoon http://t.co/xnsLRDdm0N,
323969690701553666,2013-04-16 01:22:47,"SPC forecasts moderate risk of severe thunderstorms for 4-17 for Oklahoma, southern Kansas &amp; southwestern Missouri http://t.co/6hSFzIbgL5",
321630081439125504,2013-04-09 14:26:01,"The Weather Channel has named the latest storm Wanda. It offers snow, ice, wind, tstorms, rain and possible tornadoes http://t.co/6bRDqWmskB",
321529533956227072,2013-04-09 07:46:29,"SPC issues moderate risk of severe thunderstorms for 4-9 for parts of central OK, southern OK and North Texas http://t.co/07G0Usb1We",
319951848368902144,2013-04-04 23:17:19,Possible severe weather threat early next week for Plains and Texas http://t.co/UgY2uLVG8R,
318925689552248835,2013-04-02 03:19:44,"Huge hail smashes windows in cars and homes in Benavides, Texas http://t.co/Sp0ifT52i9 (via @science)",
315944533298929664,2013-03-24 21:53:41,"Strong winter storm spreads east bringing rain, snow and slush to the Mid-Atlantic http://t.co/kzSF3UT20f",
311766826394726401,2013-03-13 09:12:58,A look back at the Blizzard of 93 http://t.co/4UvFKt8L6Q,
308369517820641281,2013-03-04 00:13:16,45% chance of DC getting 5-inches or more from upcoming snowstorm says Capital Weather Gang http://t.co/8I948nhfnE,
307813697324216320,2013-03-02 11:24:39,Possibility of disruptive East Coast storm next week says Accuweather http://t.co/zmU0VhyZ37,
306515942526025729,2013-02-26 21:27:50,Numerous ice boulders found on shore of Lake Michigan http://t.co/Htt1gyuW04 (via @science),
305508589563424768,2013-02-24 02:44:58,Snow plow driver fired after posting Youtube video of himself intentionally burying cars in snow and laughing http://t.co/1lmpBTKldM,
305076715003199488,2013-02-22 22:08:51,CNN captured thundersnow in Kansas http://t.co/riakk71qrQ,
304410958061785088,2013-02-21 02:03:22,Researchers create indoor hailstorm to test roof damage http://t.co/GEAxtMzD91,
300922282572918785,2013-02-11 11:00:37,"Hattiesburg, Mississippi mayor talks Sunday night tornado http://t.co/DOaBDDOR",
300132102207315968,2013-02-09 06:40:44,"Over 600,000 now without power in Northeast due to blizzard per @TWCBreaking",
299716462988361728,2013-02-08 03:09:07,Blizzard warning for NYC from 6 am Friday to 1 pm Saturday http://t.co/OAKvw2cy,
299347063165046784,2013-02-07 02:41:16,CBS Boston: Snowstorm Friday has potential to be historic http://t.co/lN4QUYHR,
297877293026656256,2013-02-03 01:20:55,Groundhog Day: Punxsutawney Phil predicts early Spring http://t.co/Ts71cTnz,
296811129454342144,2013-01-31 02:44:22,"7 tornado reports so far today, all in Georgia http://t.co/4fveZb37",
295380666726633472,2013-01-27 04:00:13,"Ice Storm brewing for Chicago, Detroit, St. Louis http://t.co/FohNgFAV",
294216108905463808,2013-01-23 22:52:41,NASA: Summer extremes getting more extreme in Northern Hemisphere http://t.co/Zy8wOLBZ (via @outdoorsblog),
293708638294528000,2013-01-22 13:16:10,Bitter cold cancels classes for students in metro Detroit http://t.co/ndeogVpL,
293103524475195392,2013-01-20 21:11:40,"No power in the cold: 110,000 without power in metro Detroit as winds hit 60 mph http://t.co/qT9jArds",
292395508473933826,2013-01-18 22:18:16,Sydney bakes in hottest day on record as bushfires rage http://t.co/HKhLsZt1,
290388915142152192,2013-01-13 09:24:47,Additional waves of arctic air may arrive later this month and into February in U.S. says Accuweather http://t.co/y7OgWvqP,
289219603526197249,2013-01-10 03:58:21,Chicago breaks 72-year snowless record - 320 days without at least 1 inch of snowfall http://t.co/4EzMvorx,
